char,canton,waitau,searchkey,hakka1,hakka2,Notes
一,yät1,yäk2,一yät1,yit5,,
丁,ding1,däng1,丁ding1,den1,,
七,cät1,cäk2,七cät1,cit5,,
万,man6,mæng6,万man6,man4,,
丈,zöng2,zöng2,丈zöng2,cong1,,"~夫, ~八金剛"
丈,zöng6,zöng6,丈zöng6,cong4,,
三,sam1,sam1,三sam1,sam1,,~個
三,sam3,sam1,三sam3,sam4,,~思
上,söng5,söng1,上söng5,song1,,"~去, 遇~"
上,söng5,söng1,上söng5,song3,,"~鍊, ~樑"
上,söng6,söng6,上söng6,song4,,"~等, 樓~"
下,ha5,ha1 ,下ha5,ha4,,"一~, 兩~"
下,ha6,ha6 ,下ha6,ha1,,"底~, ~車"
下,ha6,ha6 ,下ha6,ha4,,~流
不,bät1,bäk2,不bät1,but5,,
丏,min5,ming1,丏min5,mien4,,
丐,koi3,kwui1,丐koi3,goi4,,
丑,cäu2,cäu2,丑cäu2,ciu3,,
且,ce2,ce2,且ce2,cia3,,
丕,pei1,pi1,丕pei1,pi1,,
世,säi3,säi1,世säi3,se4,,"出~, 一~人"
世,säi3,säi1,世säi3,si4,,"~界, 二~祖"
丘,yäu1,yäu1,丘yäu1,hiu1,,(姓)
丘,yäu1,yäu1,丘yäu1,kiu1,,沙~
丙,bing2,bäng2,丙bing2,biang3,,
丞,sing4,säng4,丞sing4,sin2,,
丟,diu1,diu1,丟diu1,diu1,,
両,löng2,löng2,両löng2,liong3,,
並,bing6,bäng6,並bing6,bin4,,
丫,a1,a1,丫a1,a1,,
中,zung1,zung1,中zung1,zung1,,~心
中,zung3,zung1,中zung3,zung4,,~獎
丰,fung1,fung1,丰fung1,fung1,,
丱,gwan1,gwæng1,丱gwan1,gan1,,
串,cün3,cüng1,串cün3,con4,,
丳,can2,cæng2,丳can2,can3,,
丸,yün4,yüng4,丸yün4,yen2,,
丹,dan1,dæng1,丹dan1,dan1,,
主,zü2,zü2,主zü2,zu3,,
丿,pit3,pik2,丿pit3,piet5,,
乂,ngai6,ngai6,乂ngai6,ngai4,,
乃,nai5,nai1,乃nai5,lai3,,
久,gäu2,gäu2,久gäu2,giu3,,
乇,tok3,tok2,乇tok3,tok5,,
么,yiu1,yiu1,么yiu1,yau1,,
之,zi1,zi1 ,之zi1,zu1,,
乍,za3,za1,乍za3,za4,,
乎,fu4,fu4,乎fu4,fu2,,
乏,fät6,fæk6,乏fät6,fat6,,
乒,bing1,bing1,乒bing1,bin1,,
乓,bäng1,bäng1,乓bäng1,bang1,,
乖,gwai1,gwai1,乖gwai1,gai1,,
乘,sing4,säng4,乘sing4,sin2,,~涼
乘,sing6,säng6,乘sing6,sin4,,上~
乙,yüt3,yük2,乙yüt3,yet5,,
乜,mät1,mäk2,乜mät1,mak5,,乜介(客家話：甚麽)
乜,me1,me1,乜me1,mai3,,
九,gäu2,gäu2,九gäu2,giu3,,
乞,hät1,häk2,乞hät1,ket5,,
也,ya5,ya1,也ya5,ya1,,
乩,gei1,gi1,乩gei1,gi1,,
乳,yü5,yü1,乳yü5,yui3,,
乾,gon1,gung1,乾gon1,gon1,,~燥
乾,kin4,king4,乾kin4,kien2,,~隆
亂,lün6,lüng6,亂lün6,lon4,,
了,liu5,liu1,了liu5,liau3,,
予,yü5,yü1,予yü5,yi1,,
事,si6,si6,事si6,su4,,
二,yi6,yi6,二yi6,ngi4,,
亍,cuk1,cuk2,亍cuk1,cuk5,,
于,yü1,yü1,于yü1,yi1,,
云,wän4,wäng4,云wän4,yun2,,
互,wu6,wu6,互wu6,fu4,,
五,ng5,ng1,五ng5,ng3,,
井,zeng2,zäng2,井zeng2,ziang3,,
亙,gäng2,gäng2,亙gäng2,gen3,,
些,se1,se1,些se1,sia1,,
亞,a3,a1,亞a3,a1,,
亟,gik1,gäk2,亟gik1,git5,,(急迫)
亟,kei3,ki1,亟kei3,ki4,,(屢次)
亡,mong4,mong4,亡mong4,mong2,,
亢,kong3,kong1,亢kong3,kong4,,
交,gau1,gau1,交gau1,gau1,,
亥,hoi6,fui6,亥hoi6,hoi4,,
亦,yik6,yäk6,亦yik6,yit6,,
亨,häng1,häng1,亨häng1,hen1,,
享,höng2,höng2,享höng2,hiong3,,
京,ging1,gäng1,京ging1,gin1,,
