char,pron
中國,zung1 get5
因為,yin1 vui4
認為,ngin4 vui2
其中,ki2 zung1
相信,siong1 sin4
要求,yau1 kiu2
成為,sin2 vui2
不少,but5 sau3
時間,si2 gan4
已經,yi3 gin1
舉行,gi3 hang2
進行,zin4 hang2
調查,tiau4 ca2
被吿,pi4 gau4
提供,ti2 giung1
銀行,ngiun2 hong2
經濟,gin1 zi4
機會,gi1 fui4
當時,dong1 si2
人士,ngin2 su4
當中,dong1 zung1
報道,bau4 tau4
分鐘,fun1 zung1
近日,kiun4 ngit5
成交,sin2 gau1
是否,si4 fiu3
分別,fun1 piet6
主要,zu3 yau4
傳媒,con2 moi2
中心,zung1 sim1
立法會,lip6 fap5 fui4
最近,zui4 kiun4
增長,zen1 zong3
需要,si1 yau4
成功,sin2 gung1
當局,dong1 kiuk6
期間,ki2 gan1
上升,song4 sin1
嚴重,ngiam2 cung4
擔心,dam1 sim1
報吿,bau4 gau4
近年,kiun4 ngien2
十分,sip6 fun1
平均,pin2 giun1
兩個,liong1 go4
當地,dong1 ti4
覺得,gok5 det5
電話,tien4 va4
強調,kiong2 tiau4
回應,fui2 yin4
中央,zung1 yong1
參加,cam1 ga1
作為,zok5 vui2
參與,cam1 yi1
網上,miong3 song4
上月,song4 ngiet6
即使,zit5 si3
當年,dong1 ngien2
成員,sin2 yen2
使用,si3 yung4
水平,sui3 pin2
委員會,vui1 yen2 fui4
當然,dong1 yen2
都會,du1 fui4
社會,sa1 fui4
近期,kiun4 ki2
解釋,gai3 sit5
讀者,tuk6 za3
減少,gam3 sau3
反映,fan3 yang3
中共,zung1 kiung4
應該,yin1 goi1
只要,zit5 yau4
感覺,gam3 gok5
了解,liau3 gai3
冠軍,gon4 giun1
不斷,but5 ton4
上海,song4 hoi3
正式,zin4 sit5
經過,gin1 go4
一度,yit5 tu4
學校,hok6 gau4
相當,siong1 dong1
宣傳,sien1 con2
造成,cau4 sin2
觀眾,gon1 zung4
丈夫,cong4 fu1
為了,vui4 liau3
廣吿,gong3 gau4
被捕,pi4 pu4
將會,ziong1 voi4
乘客,sin2 hak5
附近,fu4 kiun4
質疑,zit5 ngi2
當日,dong1 ngit5
經常,gin1 song2
調整,tiau2 zin3
好似,hau3 su4
變成,bien4 sin2
食物,sit6 vut6
傳統,con2 tung3
中環,zung1 van2
反應,fan3 yin4
中場,zung1 cong2
好多,hau3 do1
交易,gau1 yit6
會否,fui4 fiu3
成本,sin2 bun3
擔任,dam1 ngim4
行為,hang2 vui2
相關,siong1 gan1
大量,tai4 liong4
其間,ki2 gan1
重要,cung4 yau4
成績,sin2 ziak5
球會,kiu2 fui4
容易,yung2 yi4
