Index,Word,Glossary,EnglishGlossary,Type,Character,IPA,Rom,1st check,Remark
1_Hakka_1,1,太陽,Sun,Hakka_1,日頭,ȵit31tʰɛu11,ngit5 teu2 ,OK,
2_Hakka_1,2,月亮,Moon,Hakka_1,月光,ȵiɛt53kɔŋ13,ngiet6 gong1 ,OK,
3_Hakka_1,3,星星,Star,Hakka_1,星,sin13,sin1 ,OK,
4_Hakka_1,4,流星,Meteor,Hakka_1,天瀉屎,tʰiɛn13sia53>55si31,tien1 sia4 si3 ,OK,
5_Hakka_1,5,彗星,Comet,Hakka_1,掃把星,sau53>55pa31sin13,sau4 ba3 sin1 ,OK,
6_Hakka_1,6,銀河,The milky way,Hakka_1,天河,tʰiɛn13>35hɔ11,tien1 ho2 ,OK,
7_Hakka_1,7,日食,Solar eclipse,Hakka_1,天狗食日,tʰiɛn13>35kɛu31sit53ȵit31,tien1 geu3 sit6 ngit5 ,OK,
8_Hakka_1,8,月食,Lunar eclipse Moon eclipse,Hakka_1,天狗食月,tʰiɛn13>35kɛu31sit53ȵiɛt53,tien1 geu3 sit6 ngiet6 ,OK,
9_Hakka_1,9,刮風,Wind blows,Hakka_1,發風,ta31fuŋ13,da3 fung1 ,OK,
10_Hakka_1,10,刮颱風,Have a typhoon,Hakka_1,打風差,ta31fuŋ13tsʰai13,da3 fung1 cai1 ,OK,
11_Hakka_1,11,旋風,Tornado,Hakka_1,皺風鬼,tsɛu53fuŋ13>35kui31,zeu4 fung1 gui3 ,OK,
12_Hakka_1,12,逆風,Against the wind,Hakka_1,頂頭風,tin31tʰɛu11fuŋ13,din3 teu2 fung1 ,OK,
13_Hakka_1,13,雲,Cloud,Hakka_1,雲,jun11,yun2 ,OK,
14_Hakka_1,14,雨,Rain（n.）,Hakka_1,水,sui31,sui3 ,OK,
15_Hakka_1,15,毛毛雨,Drizzle,Hakka_1,水毛,sui31mau13,sui3 mau1 ,OK,
16_Hakka_1,16,下雨,Rain (v.),Hakka_1,落水,lɔk53>55sui31,lok6 sui3 ,OK,
17_Hakka_1,17,雨停了,Rain stops,Hakka_1,晴水,tsʰiaŋ11sui31,ciang2 sui3 ,OK,
18_Hakka_1,18,淋雨,Caught in the rain,Hakka_1,涿水,tuk31sui31,duk5 sui3 ,OK,
19_Hakka_1,19,雷,Thunder (n.),Hakka_1,雷公,lui11kuŋ13,lui2 gung1 ,OK,
20_Hakka_1,20,打雷,Thunder (v.),Hakka_1,雷公叫,lui11kuŋ13kiau53,lui2 gung1 giau4 ,OK,
21_Hakka_1,21,閃電,Lightning,Hakka_1,火蛇囁,fɔ31sa11ȵiap31,fo3 sa2 ngiap5 ,OK,
22_Hakka_1,22,露水,Dew (n.),Hakka_1,露水,lu53>55sui31,lu4 sui3 ,OK,
23_Hakka_1,23,結露水,Dew (v.),Hakka_1,打露水,ta31lu53>55sui31,da3 lu4 sui3 ,OK,
24_Hakka_1,24,霧,Fog,Hakka_1,霧,mu53,mu4 ,OK,
25_Hakka_1,25,起霧,Mist,Hakka_1,落霧,lɔk53mu53,lok6 mu4 ,OK,
26_Hakka_1,26,霜,Frost (n.),Hakka_1,霜,sɔŋ13,song1 ,OK,
27_Hakka_1,27,下霜,Frost (v.),Hakka_1,落霜,lɔk53sɔŋ13,lok6 song1 ,OK,
28_Hakka_1,28,虹,Rainbow,Hakka_1,天弓,tʰiɛn13kiuŋ13,tien1 giung1 ,OK,
29_Hakka_1,29,冰雹,Hail(n.),Hakka_1,雹,pʰɔk53,pok6 ,OK,
30_Hakka_1,30,下冰雹,Hail (v.),Hakka_1,落雹,lɔk53pʰɔk53,lok6 pok6 ,OK,
31_Hakka_1,31,驟雨,Shower,Hakka_1,過雲水,kɔ53>55jun11sui31,go4 yun2 sui3 ,OK,
32_Hakka_1,32,雪,Snow (n.),Hakka_1,雪,siɛt31,siet5 ,OK,
33_Hakka_1,33,下雪,Snow (v.),Hakka_1,落雪,lɔk53siɛt31,lok6 siet5 ,OK,
34_Hakka_1,34,雪化了,(snow)melt,Hakka_1,融雪,juŋ11siɛt31,yung2 siet5 ,OK,
35_Hakka_1,35,冰,Ice,Hakka_1,冰,pɛn13,ben1 ,OK,
37_Hakka_1,37,結冰,Freeze,Hakka_1,結冰,kiɛt31pɛn13,giet5 ben1 ,OK,
38_Hakka_1,38,凍住了,Frozen,Hakka_1,結嗨冰,kiɛt31hɔi13pɛn13,giet5 hoi1 ben1 ,OK,
39_Hakka_1,39,天氣,Weather,Hakka_1,天時,tʰiɛn13>35si11,tien1 si2 ,OK,
40_Hakka_1,40,陰天,Overcast,Hakka_1,烏陰天,vu13jim13tʰiɛn13,vu1 yim1 tien1 ,OK,
41_Hakka_1,41,晴天,Sunny,Hakka_1,好天,hau31tʰiɛn13,hau3 tien1 ,OK,
42_Hakka_1,42,天旱,Drought,Hakka_1,天旱,tʰiɛn13hɔn13,tien1 hon1 ,OK,
43_Hakka_1,43,水澇,Flood,Hakka_1,浸大水,tsim53tʰai53>55sui31,zim4 tai4 sui3 ,OK,
44_Hakka_1,44,(天氣)熱,Hot,Hakka_1,熱,ȵiɛt53,ngiet6 ,OK,
45_Hakka_1,45,(天氣)悶熱,Hot and stuffy,Hakka_1,熻,hip31,hip5 ,OK,
46_Hakka_1,46,(天氣)冷,Cold,Hakka_1,冷,laŋ13,lang1 ,OK,
47_Hakka_1,47,(天氣)涼,Cool,Hakka_1,涼,liɔŋ11,liong2 ,OK,
48_Hakka_1,48,(天氣)涼快,Cool and nice(weather),Hakka_1,涼爽,liɔŋ11sɔŋ31,liong2 song3 ,OK,
49_Hakka_1,49,(天氣)暖和,Warm (weather),Hakka_1,暖,lɔn13,lon1 ,OK,
50_Hakka_1,50,山,Mountain,Hakka_1,嶺崗,liaŋ13kɔŋ13,liang1 gong1 ,OK,
51_Hakka_1,51,山頂,Peak,Hakka_1,嶺頂,liaŋ13>35taŋ31,liang1 dang3 ,OK,
52_Hakka_1,52,山腰,Mountainside,Hakka_1,半山,pan53san13,ban4 san1 ,OK,
53_Hakka_1,53,山麓,Foot of the mountain,Hakka_1,山腳下,san13>35kiɔk31ha13,san1 giok5 ha1 ,OK,
54_Hakka_1,54,山崖,Cliff,Hakka_1,山崖,san13>35ŋai11,san1 ngai2 ,OK,
54_Hakka_2,54,山崖,Cliff,Hakka_2,崩崗,pɛn13kɔŋ13,ben1 gong1 ,OK,
55_Hakka_1,55,山谷,Valley,Hakka_1,山窩,san13haŋ13>35tsai31,san1 hang1 zai3 ,有問題,山坑仔 Character =/= IPA & ROM
