char,pron
沒有,muk6 yäu1
因為,yäng1 wäi6
認為,yäng6 wäi4
要求,yiu1 käu4
成為,säng4 wäi4
不少,bäk2 siu2
時間,si4 gæng1
已經,yi1 gäng1
舉行,gü2 häng4
加上,ga1 söng1
進行,zäng1 häng4
調查,diu6 ca4
被吿,bi6 gäu1
銀行,ngäng4 hong4
經濟,gäng1 zäi1
機會,gi1 wui6
人士,yäng4 si6
報道,bäu1 däu6
分鐘,fäng1 zung1
近日,gäng6 yäk6
成交,säng4 gau1
醫生,yi1 säng1
是否,si6 fäu2
學生,hok6 sæng1
發生,fæk2 säng1
分別,fäng1 bik6
主要,zü2 yiu1
傳媒,cüng4 mui4
立法會,läp6 fæk2 wui6
最近,zöi1 gäng6
增長,zäng1 zöng2
需要,sü1 yiu1
成功,säng4 gung1
期間,ki4 gæng1
上升,söng6 säng1
嚴重,yim4 zung6
報吿,bäu1 gäu1
近年,gäng6 ning4
十分,säp6 fäng1
平均,päng4 gwäng1
兩個,löng1 go1
行動,häng4 dung6
覺得,gok2 däk2
生活,säng1 wuk6
強調,köng4 diu6
參加,cam1 ga1
作為,zok2 wäi4
參與,cam1 yü1
網上,mong1 söng6
指數,zi2 su1
上月,söng6 ngük6
即使,zik2 si2
成員,säng4 yüng4
使用,si2 yung6
水平,söi2 päng4
上市,söng1 si1
委員會,wäi2 yüng4 wui6
先生,sing1 sæng1
都會,du1 wui6
社會,se1 wui6
近期,gäng6 ki4
解釋,gai2 säk2
完成,yüng4 säng4
讀者,duk6 ze2
減少,gam2 siu2
反映,fæng2 yäng2
只要,zi2 yiu1
感覺,gäm2 gok2
了解,liu1 gai2
不斷,bäk2 düng6
上海,söng6 fui2
經過,gäng1 gwo1
反彈,fæng2 dæng6
一度,yäk2 du6
下跌,ha6 dik2
學校,hok6 hau6
宣傳,süng1 cüng4
造成,zäu6 säng4
丈夫,zöng6 fu1
為了,wäi6 liu1
廣吿,gwong2 gäu1
被捕,bi6 bu6
將會,zöng1 wui1
乘客,säng4 hæk2
附近,fu6 gäng6
質疑,zäk2 yi4
下午,ha6 ng1
經常,gäng1 söng4
生意,sæng1 yi1
調整,tiu4 zäng2
好似,häu2 ci1
變成,bing1 säng4
食物,säk6 mäk6
爭取,zäng1 cü2
傳統,cüng4 tung2
空間,hung1 gæng1
好多,häu2 do1
交易,gau1 yäk6
會否,wui6 fäu2
成本,säng4 bung2
行為,häng4 wäi4
大量,dai6 löng6
經營,gäng1 yäng4
其間,ki4 gæng1
重要,zung6 yiu1
成績,säng4 zäk2
球會,käu4 wui6
旗下,ki4 ha6
照片,ziu1 ping2
容易,yung4 yi6
否認,fäu2 yäng6
至少,zi1 siu2
長期,cöng4 ki4
成立,säng4 läp6
傳真,cüng4 zäng1
唔好,m4 häu2
以為,yi1 wäi4
加強,ga1 köng4
可惜,ho2 säk2
數據,su1 gü1
汽車,hi1 ce1
否則,fäu2 zäk2
遊行,yäu4 häng4
家長,ga1 zöng2
巴塞,ba1 cöi1
分析,fäng1 säk2
巴士,ba1 si2
青年,cäng1 ning4
刺激,ci1 gäk2
身上,säng1 söng6
為主,wäi4 zü2
晚上,mæng1 söng6
會議,wui6 yi1
接近,zip2 gäng6
不要,bäk2 yiu1
解決,gai2 kük2
重新,cung4 säng1
更加,gäng1 ga1
以上,yi1 söng6
難以,næng4 yi1
音樂,yäm1 ngok6
曾經,cäng4 gäng1
協會,hip2 wui6
製造,zäi1 zäu6
印度,yäng1 du6
一齊,yäk2 cäi4
質素,zäk2 su1
人數,yäng4 su1
經驗,gäng1 yim6
長者,zöng2 ze2
領隊,läng1 döi6
方便,fong1 bing6
早上,zäu2 söng6
上陣,söng1 zäng6
警吿,gäng2 gäu1
都好,du1 häu2
事實上,si6 säk6 söng6
幾乎,gi1 fu4
灣仔,wæng1 zäi2
打擊,da2 gäk2
大會,dai6 wui6
經理,gäng1 li1
最好,zöi1 häu2
平台,päng4 töi4
少女,siu1 nü1
數字,su1 zi6
比率,bi2 läk6
程度,cäng4 du6
地下,di6 ha6
提醒,täi4 säng2
演唱會,ying2 cöng1 wui6
年度,ning4 du6
局長,guk6 zöng2
只會,zi2 wui1
的士,däk2 si2
之間,zi1 gæng1
