Index,Word,Glossary,EnglishGlossary,Type,Character,IPA,Rom,1st check,Remark,
1_Waitau_1,1,太陽,Sun,Waitau_1,熱頭,ȵik22tʰɐu35,ngik6 täu2 ,OK,,
2_Waitau_1,2,月亮,Moon,Waitau_1,月,jyk22,yük6 ,OK,,
3_Waitau_1,3,星星,Star,Waitau_1,星,sɛŋ55,seng2 ,OK,,
4_Waitau_1,4,流星,Meteor,Waitau_1,飛星,fi13sɐŋ13,fi1 säng1 ,OK,,
5_Waitau_1,5,彗星,Comet,Waitau_1,掃把星,sɐu13pa35sɛŋ13,säu1 ba2 seng1 ,OK,,
6_Waitau_1,6,銀河,The milky way,Waitau_1,天河,tʰiŋ13hɔ11,ting1 ho4 ,OK,,
7_Waitau_1,7,日食,Solar eclipse,Waitau_1,天狗喫日,tʰiŋ13kɐu35hɛk55jɐk22,ting1 gäu2 hek2 yäk6 ,OK,,
8_Waitau_1,8,月食,Lunar eclipse Moon eclipse,Waitau_1,天狗喫月,tʰiŋ13kɐu35hɛk55jyk22,ting1 gäu2 hek2 yük6 ,OK,,
9_Waitau_1,9,刮風,Wind blows,Waitau_1,發風,fæk55foŋ13,fæk2 fung1 ,OK,,
10_Waitau_1,10,刮颱風,Have a typhoon,Waitau_1,發大風,fæk55tai22foŋ13,fæk2 dai6 fung1 ,OK,,
12_Waitau_1,12,逆風,Against the wind,Waitau_1,逆風,ŋæk22foŋ13,ngæk6 fung1 ,OK,,
13_Waitau_1,13,雲,Cloud,Waitau_1,雲,wɐŋ11,wäng4 ,OK,,
14_Waitau_1,14,雨,Rain（n.）,Waitau_1,雨,jy13,yü1 ,OK,,
15_Waitau_1,15,毛毛雨,Drizzle,Waitau_1,雨粉,jy13fɐŋ35,yü1 fäng2 ,OK,,
16_Waitau_1,16,下雨,Rain (v.),Waitau_1,落雨,lɤk22jy13,lok6 yü1 ,OK,,
17_Waitau_1,17,雨停了,Rain stops,Waitau_1,天晴,tʰiŋ13tsʰɐŋ11,ting1 cäng4 ,OK,,
18_Waitau_1,18,淋雨,Caught in the rain,Waitau_1,涿雨,tok35jy13,duk2 yü1 ,OK,,
19_Waitau_1,19,雷,Thunder (n.),Waitau_1,雷公,lɵy11koŋ13,löi4 gung1 ,OK,,
20_Waitau_1,20,打雷,Thunder (v.),Waitau_1,雷公響,lɵy11koŋ13hœŋ35,löi4 gung1 höng2 ,OK,,
21_Waitau_1,21,閃電,Lightning,Waitau_1,天攝,tʰiŋ13sip35,ting1 sip2 ,OK,,
22_Waitau_1,22,露水,Dew (n.),Waitau_1,露水,lu22sɵy35,lu6 söi2 ,OK,,
23_Waitau_1,23,結露水,Dew (v.),Waitau_1,打霧,ta55mu22,da2 mu6 ,OK,,
24_Waitau_1,24,霧,Fog,Waitau_1,霧,mu22,mu6 ,OK,,
25_Waitau_1,25,起霧,Mist,Waitau_1,起霧,hi35mu22,hi2 mu6 ,OK,,
26_Waitau_1,26,霜,Frost (n.),Waitau_1,霜,sœŋ13,söng1 ,OK,,
27_Waitau_1,27,下霜,Frost (v.),Waitau_1,落霜,lɤk22sœŋ13,lok6 söng1 ,OK,,
28_Waitau_1,28,虹,Rainbow,Waitau_1,天弓,tʰiŋ13koŋ13,ting1 gung1 ,OK,,
29_Waitau_1,29,冰雹,Hail(n.),Waitau_1,雹,pɤk22,bok6 ,OK,,
30_Waitau_1,30,下冰雹,Hail (v.),Waitau_1,落雹,lɤk22pɔk22,lok6 bok6 ,OK,,
32_Waitau_1,32,雪,Snow (n.),Waitau_1,雪,syk35,sük2 ,OK,,
33_Waitau_1,33,下雪,Snow (v.),Waitau_1,降雪,kɤŋ22syk35,gong6 sük2 ,OK,,
34_Waitau_1,34,雪化了,(snow)melt,Waitau_1,融雪,joŋ11syk35,yung4 sük2 ,OK,,
35_Waitau_1,35,冰,Ice,Waitau_1,冰,pɐŋ13,bäng1 ,OK,,
37_Waitau_1,37,結冰,Freeze,Waitau_1,結冰,kik35pɐŋ13,gik2 bäng1 ,OK,,
39_Waitau_1,39,天氣,Weather,Waitau_1,天候,tʰiŋ13hɐu22,ting1 häu6 ,OK,不確定圍頭話是否有“天候”這種説法。,
39_Waitau_2,39,天氣,Weather,Waitau_2,天時,tʰiŋ13si11,ting1 si4 ,OK,不確定圍頭話是否有“天時”這種説法。,
40_Waitau_1,40,陰天,Overcast,Waitau_1,陰天,jɐm35tʰiŋ13,yäm2 ting1 ,OK,,
40_Waitau_2,40,陰天,Overcast,Waitau_2,天陰,tʰiŋ13jɐm35,ting1 yäm2 ,唔肯定,,
41_Waitau_1,41,晴天,Sunny,Waitau_1,好天,hɐu35tʰiŋ13,häu2 ting1 ,OK,,
42_Waitau_1,42,天旱,Drought,Waitau_1,天乾,tʰiŋ13kʷuŋ13,ting1 gwung1 ,OK,,
43_Waitau_1,43,水澇,Flood,Waitau_1,水浸,sɵy55tsɐm13,söi2 zäm1 ,OK,,
44_Waitau_1,44,(天氣)熱,Hot,Waitau_1,熱,ȵik22,ngik6 ,OK,,
45_Waitau_1,45,(天氣)悶熱,Hot and stuffy,Waitau_1,翳悶,ŋɐi11muŋ22,ngäi4 mung6 ,OK,,
46_Waitau_1,46,(天氣)冷,Cold,Waitau_1,凍鐵鐵,toŋ22tik55tik35,dung6 dik2 dik2 ,OK,IPA: toŋ22 tik55 tik55,
47_Waitau_1,47,(天氣)涼,Cool,Waitau_1,涼,lœŋ11,löng4 ,OK,,
