char,waitau,hakka,notes
丫,a1,a1,
鴉,a1,a1,
阿,a1,a1,～叔
椏,a1,a1,
掗,a1,a1,
呀,a1,a1,
啞,a2,a3,
亞,a1,a1,
婭,a1,a4,
襾,a1,a4,
呀,a1,a3,
唉,ai1,ai1,
挨,ai1,ai1,
哎,ai1,ai1,
矮,ai2,ai3,
隘,ai1,ai4,
曀,äi1,yi4,
翳,äi1,ngi4,
蘙,äi1,yi4,
扼,æk2,ak5,
厄,æk2,ak5,
軛,æk2,ak5,
阨,æk2,ak5,
呃,æk2,ak5,
搤,æk2,ak5,
幄,æk2,vok5,
握,æk2,vok5,
盦,äm1,am1,
菴,äm1,am1,
諳,äm1,am1,
腤,äm1,am1,
鵪,äm1,am1,
庵,äm1,am1,
黭,äm2,am3,
唵,äm2,am3,
暗,äm1,am4,
黯,äm1,am4,
闇,äm1,am4,
喑,äm1,am4,
晏,æng1,an4,
鷃,æng1,an4,
罃,æng1,ang1,
罌,æng1,ang1,
罯,äp2,ep5,
狎,ap2,ap5,
鴨,ap2,ap5,
押,æk2,ap5,
柙,æk2,ap5,
壓,æk2,ap5,
閼,æk2,ot5,夭～
猰,æk2,at5,
胺,æk2,at5,（汗味）
揠,æk2,yet5,
遏,æk2,ot5,
熰,äu1,iu1,
慪,äu1,iu1,
歐,äu1,iu1,
謳,äu1,iu1,
鷗,äu1,iu1,
甌,äu1,iu1,
拗,au2,au3,～斷
嘔,äu2,iu3,
毆,äu2,iu3,
坳,au1,au4,
拗,au1,au4,爭～
凹,au1,au4,（＝坳）
詏,au1,au4,
靿,au1,au4,
漚,äu1,iu4,
峇,ba1,ba1,
爸,ba1,ba1,
吧,ba1,ba1,
笆,ba1,ba1,
巴,ba1,ba1,
疤,ba1,ba1,
蚆,ba1,ba1,
舥,ba1,ba1,
豝,ba1,ba1,
葩,ba1,ba1,
芭,ba1,ba1,
叭,ba1,ba1,
把,ba2,ba3,
靶,ba2,ba3,
弝,ba1,ba4,
灞,ba1,ba4,
霸,ba1,ba4,
壩,ba1,ba4,
罷,ba6,pa4,
跛,bäi1,bai1,～腳（口語）
擺,bai2,bai3,
捭,bai2,bai3,
湃,bai1,bai4,
拜,bai1,bai4,
稗,bai6,pai4,
粺,bai6,pai4,
敗,bai6,pai4,
憊,bai6,pai4,
梐,bäi6,pi4,
陛,bäi6,pi3,
蜌,bäi6,pi3,
狴,bäi6,pi4,
弊,bäi6,bi4,
斃,bäi6,bi4,
幣,bäi6,bi4,
佰,bæk2,bak5,
伯,bæk2,bak5,
百,bæk2,bak5,
白,bæk6,pak6,
鉑,bæk6,pak6,
僰,bæk6,pet6,
帛,bæk6,pet6,
匐,bæk6,pet6,
蔔,bæk6,pet6,
泵,bäm1,bam1,
班,bæng1,ban1,
眅,bæng1,ban1,
扳,bæng1,ban1,
斑,bæng1,ban1,
斒,bæng1,ban1,
頒,bæng1,ban1,
栟,bäng1,bin1,～茶（地名）
檳,bäng1,bin1,
斌,bäng1,bin1,
豳,bäng1,bin1,
賓,bäng1,bin1,
繽,bäng1,bin1,
霦,bäng1,bin1,
邠,bäng1,bin1,
鑌,bäng1,bin1,
蠙,bäng1,bin1,
彬,bäng1,bin1,
攽,bäng1,bin1,
儐,bäng1,bin4,
奔,bäng1,bun1,
錛,bäng1,bun1,
濱,bäng1,bin1,
賁,bäng1,bun1,～門
粄,bæng2,ban3,
阪,bæng2,ban3,大～
板,bæng2,ban3,
昄,bæng2,ban3,
版,bæng2,ban3,
叛,bæng2,pan4,
舨,bæng2,ban3,
闆,bæng2,ban3,
稟,bäng2,bin3,
品,bäng2,pin3,
襻,bæng1,pan4,
殯,bäng1,bin4,
髕,bäng1,bin4,
鬢,bäng1,bin4,
臏,bäng1,bin4,
畚,bäng1,bun4,
扮,bæng6,pan4,
湴,bæng6,pan4,
辦,bæng6,pan4,
笨,bäng6,bun4,
崩,bäng1,ben1,
掤,bäng1,ben1,
繃,bäng1,ben1,
弸,bäng1,ben1,
乓,bäng1,bang1,
蹦,bäng1,ben1,
甏,bæng6,pang4,
吥,bäk2,but5,
北,bäk2,bet5,
潷,bäk2,bit5,
熚,bäk2,bit5,
嗶,bäk2,bit5,
筆,bäk2,bit5,
滭,bäk2,bit5,
篳,bäk2,bit5,
畢,bäk2,bit5,
蓽,bäk2,bit5,
縪,bäk2,bit5,
不,bäk2,but5,
朳,bæk2,pat6,（番石榴）
八,bæk2,bat5,
捌,bæk2,bat5,
弼,bäk6,pet6,
包,bau1,bau1,
胞,bau1,bau1,
苞,bau1,bau1,
鮑,bau1,bau1,
飽,bau2,bau3,
爆,bau1,bau4,
齙,bau6,bau4,
啤,be1,bia1,～酒
伾,bi1,pi1,
羆,bi1,bi1,
裨,bi1,bi1,～益
鎞,bi1,bi1,
箄,bi1,bi1,
痺,bi1,bi1,
俾,bi1,bi1,
碑,bi1,bi1,
卑,bi1,bi1,
屄,bik2,biet5,
椑,bi1,bi1,
埤,bi1,bi1,
陂,bi1,bi1,
陴,bi1,bi1,
萆,bi1,bi1,
贔,bi1,bi1,
悲,bi1,bui1,
崥,bi2,bi3,峽～
柀,bi2,bi3,
匕,bi2,bi3,
比,bi2,bi3,
妣,bi2,bi3,
貏,bi2,bi3,
髀,bi2,bi3,
彼,bi2,bi3,
奰,bi1,bi4,
賁,bi1,bi4,～臨
庇,bi1,bi4,
臂,bi1,bi4,
毖,bi1,bi4,
痹,bi1,bi4,
秘,bi1,bi4,
箅,bi1,bi4,
敝,bäi1,bi4,
獘,bäi1,bi4,
閉,bäi1,bi4,
蔽,bäi1,bi4,
閟,bi1,bi4,
詖,bi1,bi4,
轡,bi1,bi4,
泌,bi1,bi4,
