Char,Can,Wai,Hak,Note,Status,Multi?,Top2000
一,yät1,yäk2,yit5,,,1,TRUE
丁,ding1,däng1,den1,,,1,TRUE
七,cät1,cäk2,cit5,,,1,TRUE
万,man6,mæng6,man4,,,1,FALSE
丈,zöng2,zöng2,cong1,姨~,,3,TRUE
丈,zöng6,zöng6,cong1,,,3,TRUE
丈,zöng6,zöng6,cong4,"~夫, ~八金剛",,3,TRUE
三,sam1,sam1,sam1,~個,,2,TRUE
三,sam3,sam1,sam4,~思,,2,TRUE
上,söng5,söng1,song1,"~去, 遇~",,3,TRUE
上,söng5,söng1,song3,"~鍊, ~樑",,3,TRUE
上,söng6,söng6,song4,"~等, 樓~",,3,TRUE
下,ha5 ,ha1 ,ha4,"一~, 兩~",,3,TRUE
下,ha6 ,ha6 ,ha1,"底~, ~車",,3,TRUE
下,ha6 ,ha6 ,ha4,~流,,3,TRUE
不,bät1,bäk2,but5,,,1,TRUE
丏,min5,ming1,mien4,,,1,FALSE
丐,koi3,kwui1,goi4,,,1,TRUE
丑,cäu2,cäu2,ciu3,,,1,TRUE
且,ce2,ce2,cia3,,,1,TRUE
丕,pei1,pi1,pi1,,,1,FALSE
世,säi3,säi1,se4,"出~, 一~人",,2,TRUE
世,säi3,säi1,si4,"~界, 二~祖",,2,TRUE
丘,yäu1,yäu1,hiu1,(姓),,2,FALSE
丘,yäu1,yäu1,kiu1,沙~,,2,FALSE
丙,bing2,bäng2,biang3,,,1,TRUE
丞,sing4,säng4,sin2,,,1,FALSE
丟,diu1,diu1,diu1,,,1,TRUE
両,löng2,löng2,liong3,,,1,TRUE
並,bing6,bäng6,bin4,,,1,TRUE
丫,a1,a1,a1,,,1,FALSE
中,zung1,zung1,zung1 ,~心,,2,TRUE
中,zung3,zung1,zung4,~獎,,2,TRUE
丰,fung1,fung1,fung1,,,1,FALSE
丱,gwan1,gwæng1,gan1,,,1,FALSE
串,cün3,cüng1,con4,,,1,TRUE
丳,can2,cæng2,can3,,,1,FALSE
丸,yün4,yüng4,yen2,,,1,TRUE
丹,dan1,dæng1,dan1,,,1,FALSE
主,zü2,zü2,zu3,,,1,TRUE
丿,pit3,pik2,piet5,,,1,FALSE
乂,ngai6,ngai6,ngai4,,,1,FALSE
乃,nai5,nai1,lai3,,,1,FALSE
久,gäu2,gäu2,giu3,,,1,TRUE
乇,tok3,tok2,tok5,,,1,FALSE
么,yiu1,yiu1,yau1,,,1,FALSE
之,zi1 ,zi1 ,zu1,,,1,TRUE
乍,za3,za1,za4,,,1,FALSE
乎,fu4,fu4,fu2,,,1,TRUE
乏,fät6,fæk6,fat6,,,1,FALSE
乒,bing1,bing1,bin1,,,1,TRUE
乓,bäng1,bäng1,bang1,,,1,TRUE
乖,gwai1,gwai1,gai1,,,1,TRUE
乘,sing4,säng4,sin2,~涼,,2,TRUE
乘,sing6,säng6,sin4,上~,,2,TRUE
乙,yüt3,yük2,yet5,,,1,TRUE
乜,mät1,mäk2,mak5,乜介(客家話：甚麽),,2,FALSE
