char,pron
日頭,ngit5 teu2
月光,ngiet6 gong1
天瀉屎,tien1 sia4 si3
掃把星,sau4 ba3 sin1
天河,tien1 ho2
天狗食日,tien1 geu3 sit6 ngit5
天狗食月,tien1 geu3 sit6 ngiet6
發風,da3 fung1
打風差,da3 fung1 cai1
皺風鬼,zeu4 fung1 gui3
頂頭風,din3 teu2 fung1
水毛,sui3 mau1
落水,lok6 sui3
晴水,ciang2 sui3
涿水,duk5 sui3
雷公,lui2 gung1
雷公叫,lui2 gung1 giau4
火蛇囁,fo3 sa2 ngiap5
露水,lu4 sui3
打露水,da3 lu4 sui3
落霧,lok6 mu4
落霜,lok6 song1
天弓,tien1 giung1
落雹,lok6 pok6
過雲水,go4 yun2 sui3
落雪,lok6 siet5
融雪,yung2 siet5
結冰,giet5 ben1
結嗨冰,giet5 hoi1 ben1
天時,tien1 si2
烏陰天,vu1 yim1 tien1
好天,hau3 tien1
天旱,tien1 hon1
浸大水,zim4 tai4 sui3
涼爽,liong2 song3
嶺崗,liang1 gong1
嶺頂,liang1 dang3
半山,ban4 san1
山腳下,san1 giok5 ha1
山崖,san1 ngai2
崩崗,ben1 gong1
嶺背後,liang1 boi4 heu1
河邊,ho2 bien1
河壆,ho2 bok5
陂頭,bi1 teu2
沙壩,sa1 ba4
坑瀝,hang1 lak5
湖氹,fu2 tem2
平地,piang2 ti4
鵝卵石,ngo2 on3 sak6
沙公,sa1 gung1
爛泥,lan4 lai2
泥塵,lai2 cin2
垃圾,lot5 sot5
木絲,muk5 si1
刨茸,pau2 yung2
石灰,sak6 foi1
紅毛泥,fung2 mau1 lai2
玻璃,bo1 li1
油漆,yiu2 cit5
磁挾,ci2 hiap6
冷水,lang1 sui3
拿暖水,la2 lon1 sui3
燒水,sau1 sui3
沸水,bui4 sui3
沸嗨,bui4 hoi1
洗米水,se3 mi3 sui3
街肚,gai1 du3
農村裡,lung2 cun1 li1
東西,dung1 si1
風景,fung1 gin3
臉前,ngiam4 cien2
背後,boi4 heu1
左手析,zo3 siu3 bien1
右手析,yiu4 siu3 bien1
上高,song4 gau1
下背,ha1 boi4
腳下,giok5 ha1
裏背,di1 boi4
門背,mun2 boi4
頂高,dang3 gau1
腳下,giok5 ha4
中間,zung1 gan1
側邊,zet5 bien1
對面,dui4 min4
附近,fu4 kiun4
隔籬,gak5 li2
鄰舍,lin2 sa4
隔離鄰舍,gak5 li2 lin2 sa4
今年,gim1 ngien2
舊年,kiu4 ngien2
前年,cien2 ngien2
大前年,tai4 cien2 ngien2
後年,heu4 ngien2
大後年,tai4 heu4 ngien2
今日,gim1 ngit5
暫暋日,cam4 min1 ngit5
前日,cien2 ngit5
大前日,tai4 cien2 ngit5
晨朝日,sin1 zau1 ngit5
後日,heu4 ngit5
大後日,tai4 heu4 ngit5
第二日,ti4 ngi4 ngit5
日日,ngit5 ngit5
日子,ngit5 zu1
鐘頭,zung1 teu2
點鐘,diam3 zung1
天光,tien1 gong1
朝晨頭,zau1 sin2 teu2
上晝,song4 ziu4
晏晝,an4 ziu4
下晝,ha1 ziu4
斷暗,ton1 am4
日辰頭,ngit5 sin2 teu2
夜晚辰,ya4 man1 sin2
晚辰頭,man1 sin2 teu2
成日,sang2 ngit5
月頭,ngiet6 teu2
月尾,ngiet6 mui1
早下,zau3 ha4
今下,gin1 ha4
今下,gin1 la4
開頭,hoi1 teu2
跟尾,gen4 mui1
黏尾,ngiam2 mui1
包尾,bau1 mui1
正先,cang4 sien1
五月節,ng1 ngiet6 ziet5
八月十五,bat5 ngiet6 sip6 ng3
八月半,bat5 ngiet6 ban4
重陽,cung2 yong2
年三十晚,ngien2 sam1 sip6 man1
通書,tung1 su1
一世,yit5 se4
前世,cien2 se4
轉世,zon3 se4
一陣間,yit5 cin4 gan1
