char,pron
熱頭,ngik6 täu2
月,yük6
星,seng2
飛星,fi1 säng1
掃把星,säu1 ba2 seng1
天河,ting1 ho4
天狗喫日,ting1 gäu2 hek2 yäk6
天狗喫月,ting1 gäu2 hek2 yük6
發風,fæk2 fung1
發大風,fæk2 dai6 fung1
逆風,ngæk6 fung1
雲,wäng4
雨,yü1
雨粉,yü1 fäng2
落雨,lok6 yü1
天晴,ting1 cäng4
涿雨,duk2 yü1
雷公,löi4 gung1
雷公響,löi4 gung1 höng2
天攝,ting1 sip2
露水,lu6 söi2
打霧,da2 mu6
霧,mu6
起霧,hi2 mu6
霜,söng1
落霜,lok6 söng1
天弓,ting1 gung1
雹,bok6
落雹,lok6 bok6
雪,sük2
降雪,gong6 sük2
融雪,yung4 sük2
冰,bäng1
結冰,gik2 bäng1
天候,ting1 häu6
天時,ting1 si4
陰天,yäm2 ting1
好天,häu2 ting1
天乾,ting1 gwung1
水浸,söi2 zäm1
熱,ngik6
翳悶,ngäi4 mung6
凍鐵鐵,dung6 dik2 dik2
涼,löng4
涼爽,löng4 song2
暖,nüng1
和暖,wo4 nüng1
山,sæng1
山腰,sæng1 yiu1
山腳,sæng1 gök2
山崖,sæng1 ngai4
山谷,sæng1 guk2
山前,sæng1 cing4
山後,sæng1 häu6
海,fui2
河,ho4
湖,fu4
水澗,söi2 gæng1
岸,wung6
壩,ba1
壆,bok2
沙攔,sa1 læng2
坑,hæng1
坑渠,hæng1 kü4
水瀝,söi2 lek2
塘,tong4
氹,täm1
水氹,söi2 täm1
平地,peng6 di6
石仔,sek6 zäi2
石頭,sek6 täu4
鵝春石,ngo4 cäng1 sek6
泥沙,näi4 sa1
燥泥,zäu1 näi4
爛泥,næng6 näi4
濕泥,säp2 näi4
灰塵,fui1 cäng4
泥塵,näi4 cäng4
垃圾,lap6 sap2
生銹,sæng1 säu2
木屑,muk6 sip2
粉,fäng2
碎,söi1
石灰,sek6 fui1
紅毛泥,hung4 mäu4 näi4
玻璃,bo1 li2
油,yäu2
攝石,sip2 sek6
金,gäm1
銀,ngäng4
銅,tung4
鐵,tik2
錫,sek6
鋁,lü1
凍水,dung1 söi2
暖水,nüng1 söi2
熱水,ngik6 söi2
滾水,gwäng2 söi2
滾,gwäng2
潲水,sau1 söi2
城,seng2
鄉下,höng1 ha2
村,cüng1
巷,hong6
路,lu6
嘢,ya1
色水,säk2 söi2
聲,seng1
膸,cöi4
味道,mi6 däu6
皓,hau6
影,yäng2
風景,fung1 gäng2
前邊,cing4 bing6
後邊,häu6 bing6
左邊,zo2 bing6
左手邊,zo2 säu2 bing6
右邊,yäu6 bing6
右手邊,yäu6 säu2 bing6
上邊,söng6 bing6
上高,söng6 gäu1
下邊,ha6 bing6
下低,ha6 däi2
入邊,yäp6 bing6
出邊,cät2 bing6
屋上,uk2 söng2
床下底,cong4 ha6 däi2
側邊,zäp2 bing2
對面,döi1 ming6
近邊,gäng6 bing6
附近,fu6 gäng6
隔籬,gäk2 li4
隔籬鄰舍,gäk2 li4 läng4 se1
今年,gäm1 ning4
舊年,gäu6 ning4
前年,cing4 ning2
大前年,dai6 cing4 ning2
出年,cäk2 ning2
後年,häu6 ning2
大後年,dai6 häu6 ning2
今日,gäm1 yäk6
昨日,co1 yäk2
前日,cing4 yäk2
大前日,dai6 cing4 yäk2
聽日,täng1 yäk6
後日,häu6 yäk6
大後日,dai6 häu6 yäk6
第二日,däi6 ngi6 yäk6
日日,yäk6 yäk6
日子,yäk6 zi2
鐘頭,zung1 täu4
點鐘,dim2 zung1
天光,ting1 gwong1
朝頭早,ziu6 täu4 zäu2
上晝,söng6 zäu1
挨晚,ai1 mæng1
日頭,yäk6 täu2
晚頭黑,mæng1 täu4 hak2
成日,seng4 yak6
天黑,ting1 häk2
月頭,yük6 täu4
月尾,yük6 mi1
舊時,gäu6 si4
舊陣時,gäu6 zäng6 si4
那下,na2 ha1
起頭,hi2 täu4
開首,fui1 säu2
後尾,häu6 mi1
收尾,säu2 mi1
最收尾,zöi1 säu2 mi1
最後尾,zöi1 häu6 mi1
啱先,ngam2 sing1
頭先,täu4 sing1
大年初一,dai6 ning4 co1 yäk2
年初一,ning4 co1 yäk2
五月節,ng1 yük6 zik2
扒龍船,pa4 lung4 süng4
八月十五,bæk2 yük6 säp6 ng1
重陽,cung4 yong4
重九,cung4 gäu2
九月九,gäu2 yük6 gäu2
大年卅晚,dai6 ning4 sa6 mæng1
年卅晚,ning4 sa6 mæng1
一世,yäk2 säi1
成世人,seng4 säi1 yäng4
前世,cing4 säi1
下一世,ha6 yät2 säi1
第二世,däi6 ngi6 säi1
一陣間,yäk2 zäng6 gæng2
眨下眼,zam2 ha1 ngæng2
時候,si4 häu6
水田,söi2 ting4
田,ting4
田壆,ting4 bok2
耕田,gæng1 ting4
蒔田,si1 ting4
剔禾草,tik2 wo4 cäu2
割禾,gwut2 wo4
拌禾,pæng1 wo4
打穀,da2 guk2
禾稈草,wo4 gwung2 cäu2
禾稈頭,wo4 gwun2 täu4
撤,sæk2
漚,äu1
鋤頭,co4 täu4
柄,beng1
鏟,cæng2
番釘,fæng1 deng1
禾鐮,wo4 lim2
草鐮,cäu2 lim2
柴刀,cai6 däu1
犁,läi4
耙,pa4
水車,söi2 ce1
風車,fung1 ce1
拌桶,pæng1 tung2
穀臿,guk2 cap2
臿,cap2
穀籮,guk2 lo4
篩,säi1
磨,mo6
泥磨,näi4 mo2
碓,döi2
地堂,di6 tong2
窩攔,wo1 læng4
擔竿,dam1 gung1
繩,säng4
繩仔,säng4 zäi2
打樁,da2 zong1
門楔,mung4 sip2
竹棒,zuk2 pang1
發芽,fak2 nga4
掌牛,zöng2 ngäu4
斬柴,zam2 cai4
劈柴,pek2 cai4
投墟,täu4 hü1
入城,yäp6 seng2
出城,cäk2 seng2
網魚,mong6 yü4
捉魚,zuk2 yü2
作壩,zok2 ba1
作壆,zok2 bok2
乾塘,gwung1 tong4
戽水,fu1 söi2
磨米,mo4 mäi1
壓米,ngak2 mäi1
菜園,cöi1 yüng4
淋菜,läm4 cöi1
劏魚,tong1 yü4
劏雞,tong1 gäi1
劏豬,tong1 zü1
養雞,yöng1 gäi1
養豬,yöng1 zü1
做嘢,zu6 ya1
糴米,dek6 mäi1
買豬肉,mai1 zü1 yuk6
洗米,säi2 mäi1
煮飯,zü2 fæng6
焗飯,guk6 fæng6
煮餸,zü2 sung1
燉,däng6
煠,sap6
煲湯,bäu1 tong1
滾湯,gwäng2 tong1
潟,se2
盪碗,long1 wung2
抹,mæk2
執拾,zap2 säp6
養,yöng1
供養,gung1 yöng1
掌屋,zöng2 uk2
聯,lüng4
浪,long2
晾衫,long6 sam2
晾燥,long6 zau1
繑,kiu1
煲,bäu1
裝,zong4
焫,nak2
火燭,fo2 zuk2
烏,wu1
出力,cäk2 läk6
安,wung1
整,zäng2
執,zäp2
揀,gæng2
湊,cäu1
焙,bui6
拔,bäk2
醃,yip2
攤凍,tæng1 dung1
禾,wo4
穀,guk2
泛穀,pæng1 guk2
米,mäi1
糯米,no6 mäi1
粘米,zim1 mäi1
麥,mak6
米仔,mäi1 zäi2
狗尾粟,gäu2 mi1 suk2
高粱,gäu1 löng4
黃豆,wong4 däu2
大豆,dai6 däu2
荷蘭豆,ho4 læng2 däu2
蠶豆,cam4 däu2
芝麻,zi1 ma4
豆角,däu6 gok3
扁豆,bing2 däu6
葛薯,guk2 sü4
荷蘭薯,ho4 læng2 sü4
薯仔,sü2 zäi2
地豆,di6 däu6
地豆米,di6 däu6 mäi1
菇,gu1
栗子,läk6 zi1
蔗,ze1
菜,cöi1
菠菜,bo2 cöi1
黃芽白,wong4 nga4 bæk6
矮瓜,äi2 gwa1
絲瓜,si1 gwa1
青瓜,ceng1 gwa1
番茄,fæng1 kö2
菜頭,cöi1 täu4
紅蘿蔔,hung4 lo4 bæk6
辣椒,læk6 ziu2
蕹菜,ung1 cöi1
韭菜,gäu2 cöi1
莧菜,hing1 cöi1
芥菜,gai1 cöi1
芹菜,käng4 cöi1
芫荽,yim4 säi1
生菜,sæng1 cöi1
潺菜,sæng4 cöi1
牙姑,nga4 ku1
蓮藕,ling4 ngäu1
馬蹄,ma1 täi2
菱角,läng4 gok2
蔥,cung2
蒜頭,süng1 täu4
蒜梗,süng1 kwæng2
蕎頭,kiu1 täu4
薑,göng1
梗,kwäng2
菜梗,cöi1 kwæng2
菜根,cöi1 gäng2
苗,miu4
浮仔,fäu4 zäi2
浮薸,pou4 piau4
生果,sæng1 gwo2
杏,häng6
李仔,li2 zäi2
石榴,sek6 läu4
雪梨,sük2 li2
柑,gäm1
橙,cæng2
碌柚,luk2 yäu2
梅,mui2
梅仔,mui4 zäi2
菩提子,pu4 täi4 zi2
櫻桃,yäng1 täu4
欖,lam2
紅棗,hung4 zäu2
合桃,häp6 täu4
山楂,sæng1 za1
牙蕉,nga4 ziu1
荔枝,läi6 zi2
龍眼,lung4 ngæng1
西瓜,säi1 gwa1
芽,nga4
核,wäk6
皮,pi4
花,fa1
梅花,mui4 fa1
杏花,häng6 fa1
桃花,täu4 fa1
蓮花,ho4 fa1
蓮花,ling4 fa1
桂花,gwäi1 fa1
杜鵑花,du6 güng2 fa1
蘭花,læng4 fa1
雞春花,gäi1 cäng1 fa1
白蘭,bæk6 læng2
白蘭花,bæk6 læng2 fa1
金銀花,gäm1 ngäng4 fa1
菊花,guk2 fa1
葵花,kwäi4 fa1
棉花,ming4 fa1
槐樹,wai4 sü6
楓樹,fung1 sü6
苦楝樹,fu2 ling6 sü6
千層皮,cing1 cäng4 pi4
桑仔,song1 zäi1
榕樹,yung4 sü6
烏桕,wu1 käu1
白果樹,bæk6 gwo2 sü6
梧桐,ng4 tung4
茶樹,ca4 sü6
山茶,sæng1 ca4
棕櫚,zung1 lü1
竹,zuk2
竹根,zuk2 gäng1
竹衣,zuk2 yi1
竹筍,zuk2 säng2
竹篾,zuk2 mik6
茅草,mau4 cäu2
榔箕,long4 gi1
青苔,ceng1 töi4
蘆葦,lu4 väi1
艾,ngai6
樹枝,sü6 zi1
樹尾,sü6 mi2
樹頭,sü6 täu4
樹葉,sü6 yip6
粽葉,zung2 yip6
竻,läk6
杉,cam1
柏,pæk6
松樹,cung4 sü6
松果,cung4 gwo2
松針,cung4 zäm1
松毛,cung4 mäu4
樹膠,sü6 gau1
木頭,muk6 täu4
畜牲,cuk2 sæng1
水牛,söi2 ngäu4
黃牛,wong4 ngäu4
牛公,ngäu4 gung1
牛乸,ngäu4 na2
